sample	samples	_primary_site	SLC25A11	SLC25A12	SLC25A13	SLC16A1	SLC16A4	SLC16A7	MPC1	MPC2	GPD1	GPD1L	GPD2	LDHA	LDHB	LDHC	LDHD
K-562-SM-3P61Y	K-562-SM-3P61Y	Bone Marrow	10.47	10.03	11.48	13.25	5.4	0	10.65	11.89	4.434	9.9	10.78	16.84	14.73	0.8674	5.748
K-562-SM-4WWAK	K-562-SM-4WWAK	Bone Marrow	10.44	9.788	11.43	13.14	5.119	0	10.85	12.13	4.473	9.806	10.64	16.8	14.72	0.974	5.593
K-562-SM-4IHK7	K-562-SM-4IHK7	Bone Marrow	10.34	9.864	11.23	13.03	5.064	1.11	10.42	11.78	3.781	9.489	10.53	16.42	14.37	1.73	5.763
K-562-SM-4VBPT	K-562-SM-4VBPT	Bone Marrow	10.3	9.966	11.54	13.34	5.413	1.379	10.86	12.12	4.644	9.927	10.91	16.87	14.77	0.8481	5.3
K-562-SM-5J2LX	K-562-SM-5J2LX	Bone Marrow	10.3	9.965	11.49	13.23	5.011	1.794	10.69	12	4.255	9.943	10.74	16.76	14.69	0.8658	5.831
K-562-SM-5GZWN	K-562-SM-5GZWN	Bone Marrow	10.29	9.944	11.49	13.27	5.207	1.461	10.73	11.97	4.342	9.879	10.87	16.81	14.7	1.86	5.458
K-562-SM-5IJDX	K-562-SM-5IJDX	Bone Marrow	10.29	9.918	11.5	13.27	5.496	1.414	10.75	12.02	3.754	9.784	10.79	16.78	14.72	0.8738	5.028
K-562-SM-5K7TT	K-562-SM-5K7TT	Bone Marrow	10.29	9.834	11.46	13.22	5.181	1.341	10.81	12.06	4.718	9.805	10.73	16.64	14.56	0	5.753
K-562-SM-4OOR8	K-562-SM-4OOR8	Bone Marrow	10.26	9.914	11.42	13.23	5.732	0	10.75	11.91	4.346	9.946	10.86	16.78	14.67	2.126	5.613
K-562-SM-2YUNN	K-562-SM-2YUNN	Bone Marrow	10.26	9.699	11.36	13.09	5.491	1.033	10.49	11.56	4.971	9.867	10.75	16.57	14.43	0	5.737
K-562-SM-5Q59U	K-562-SM-5Q59U	Bone Marrow	10.25	10.05	11.47	13.31	5.936	0	10.66	11.99	4.347	9.934	10.9	16.71	14.67	1.656	5.231
K-562-SM-5MR32	K-562-SM-5MR32	Bone Marrow	10.25	9.795	11.33	13.13	5.272	0.9566	10.54	11.67	3.825	9.75	10.75	16.61	14.47	0	5.406
K-562-SM-5HL7A	K-562-SM-5HL7A	Bone Marrow	10.24	9.859	11.38	13.12	4.608	1.56	10.73	11.97	3.772	9.595	10.62	16.78	14.75	0	5.635
K-562-SM-5LZU1	K-562-SM-5LZU1	Bone Marrow	10.24	9.853	11.35	13.1	4.642	0	10.7	12.01	4.168	9.651	10.52	16.76	14.72	0.999	5.67
K-562-SM-5P9HH	K-562-SM-5P9HH	Bone Marrow	10.23	9.911	11.41	13.2	5.852	0	10.39	11.65	4.372	9.813	10.91	16.55	14.4	1.365	5.521
K-562-SM-3NMAP	K-562-SM-3NMAP	Bone Marrow	10.23	9.891	11.55	13.34	5.232	2.017	10.76	12.13	4.38	10.03	10.89	16.76	14.64	0	5.371
K-562-SM-5KM2I	K-562-SM-5KM2I	Bone Marrow	10.23	9.726	11.33	13.15	4.994	0.9971	10.71	11.93	4.165	9.759	10.64	16.62	14.53	0	5.082
K-562-SM-5CVL5	K-562-SM-5CVL5	Bone Marrow	10.22	10.02	11.55	13.43	5.944	2.223	10.77	12.03	4.525	10.04	11.07	16.92	14.82	1.503	5.089
K-562-SM-2I3E7	K-562-SM-2I3E7	Bone Marrow	10.21	9.771	11.45	13.16	5.728	1.773	10.49	11.54	4.43	9.685	10.99	16.51	14.33	0	5.553
K-562-SM-57WAW	K-562-SM-57WAW	Bone Marrow	10.2	10.12	11.63	13.52	6.022	1.637	10.8	12.04	3.772	10.06	11.09	16.93	14.81	0	5.336
K-562-SM-3MJHH	K-562-SM-3MJHH	Bone Marrow	10.2	10.04	11.62	13.41	5.561	2.259	10.86	12.03	4.142	10.02	10.99	16.78	14.67	0	5.755
K-562-SM-5Q5CL	K-562-SM-5Q5CL	Bone Marrow	10.2	9.973	11.49	13.37	5.487	1.539	10.7	11.93	3.744	10.07	11.08	16.77	14.7	0	5.487
K-562-SM-47JYY	K-562-SM-47JYY	Bone Marrow	10.2	9.943	11.33	13.15	5.171	1.044	10.48	11.9	4.542	9.71	10.74	16.6	14.58	2.065	5.37
K-562-SM-4WAWH	K-562-SM-4WAWH	Bone Marrow	10.2	9.826	11.35	13.09	5.475	1.596	10.63	11.92	4.185	9.742	10.68	16.65	14.56	0	5.716
K-562-SM-5DUV6	K-562-SM-5DUV6	Bone Marrow	10.2	9.755	11.3	13.12	5.139	1.099	10.55	11.76	3.878	9.64	10.67	16.62	14.54	0	5.508
K-562-SM-5NQ9D	K-562-SM-5NQ9D	Bone Marrow	10.19	9.8	11.44	13.18	5.033	1.548	10.61	11.8	4.116	9.723	10.77	16.72	14.63	0	5.437
K-562-SM-48FEU	K-562-SM-48FEU	Bone Marrow	10.19	9.595	11.13	12.98	5.363	2.517	10.55	11.93	4.55	9.527	10.59	16.39	14.37	1.125	5.82
K-562-SM-5P9EQ	K-562-SM-5P9EQ	Bone Marrow	10.18	9.989	11.56	13.37	5.71	0.7523	10.71	11.99	3.942	10.02	10.92	16.78	14.62	0.7523	5.371
K-562-SM-4AD4F	K-562-SM-4AD4F	Bone Marrow	10.18	9.962	11.43	13.23	5.696	2.789	10.55	11.87	4.477	9.833	10.86	16.67	14.53	0	5.76
K-562-SM-5NQ6M	K-562-SM-5NQ6M	Bone Marrow	10.18	9.784	11.38	13.14	5.381	0	10.66	11.86	4.246	9.719	10.71	16.69	14.6	0.9606	5.779
K-562-SM-5J1MB	K-562-SM-5J1MB	Bone Marrow	10.17	9.888	11.44	13.2	4.738	0	10.75	12.02	3.992	9.871	10.75	16.75	14.7	0.8708	5.128
K-562-SM-4JBIQ	K-562-SM-4JBIQ	Bone Marrow	10.17	9.809	11.39	13.13	5.597	1.901	10.74	11.97	4.195	9.766	10.64	16.69	14.65	0.9348	5.676
K-562-SM-5LU2Y	K-562-SM-5LU2Y	Bone Marrow	10.16	9.936	11.57	13.36	5.65	2.281	10.63	11.95	4.122	9.963	10.96	16.73	14.62	0	5.731
K-562-SM-5PNWU	K-562-SM-5PNWU	Bone Marrow	10.15	9.837	11.33	13.16	5.302	0	10.56	11.78	4.128	9.733	10.75	16.67	14.53	1.502	5.657
K-562-SM-4KKZ9	K-562-SM-4KKZ9	Bone Marrow	10.14	9.872	11.39	13.11	5.337	0	10.46	11.78	4.934	9.93	10.66	16.7	14.6	0	5.337
K-562-SM-3NB3I	K-562-SM-3NB3I	Bone Marrow	10.14	9.84	11.58	13.29	5.056	2.808	10.8	12.19	4.644	9.988	10.76	16.8	14.69	1.322	5.701
K-562-SM-3NMDG	K-562-SM-3NMDG	Bone Marrow	10.13	9.932	11.49	13.3	5.408	0.8712	10.63	12.03	4.647	9.881	10.81	16.74	14.61	2.11	5.568
K-562-SM-5O9BA	K-562-SM-5O9BA	Bone Marrow	10.13	9.886	11.43	13.23	5.582	0	10.53	11.74	3.835	9.831	10.86	16.66	14.52	0.9146	4.917
K-562-SM-3LK7S	K-562-SM-3LK7S	Bone Marrow	10.13	9.785	11.4	13.16	5.208	0	10.71	12	4.578	9.703	10.76	16.57	14.5	0	5.923
K-562-SM-5LZWR	K-562-SM-5LZWR	Bone Marrow	10.13	9.714	11.34	13.11	4.8	1.024	10.61	11.86	3.628	9.686	10.6	16.65	14.52	0	5.505
K-562-SM-4DM4W	K-562-SM-4DM4W	Bone Marrow	10.13	9.606	11.21	13	5.772	1.248	10.6	11.78	2.978	9.632	10.59	16.52	14.4	0	5.492
K-562-SM-59HJ4	K-562-SM-59HJ4	Bone Marrow	10.12	9.971	11.49	13.33	5.94	2.123	10.48	11.85	4.476	9.923	10.92	16.73	14.66	2.123	5.327
K-562-SM-4YCCQ	K-562-SM-4YCCQ	Bone Marrow	10.12	9.946	11.42	13.26	5.641	2.091	10.56	11.83	3.811	9.89	10.92	16.74	14.63	0	5.439
K-562-SM-5GZZE	K-562-SM-5GZZE	Bone Marrow	10.12	9.611	11.22	13.03	5.301	1.705	10.58	11.82	3.972	9.577	10.47	16.58	14.51	0	5.301
K-562-SM-4QAR5	K-562-SM-4QAR5	Bone Marrow	10.11	9.791	11.29	13.13	5.065	1.084	10.59	11.92	4.403	9.695	10.66	16.65	14.61	0	5.586
K-562-SM-5N9B7	K-562-SM-5N9B7	Bone Marrow	10.11	9.741	11.39	13.24	5.527	0.9012	10.51	11.74	3.512	9.825	10.85	16.56	14.44	0	5.907
K-562-SM-5N9DX	K-562-SM-5N9DX	Bone Marrow	10.1	9.931	11.49	13.29	6.076	1.401	10.65	11.88	4.188	10	10.91	16.69	14.61	1.401	5.448
K-562-SM-5IJB7	K-562-SM-5IJB7	Bone Marrow	10.09	9.94	11.44	13.29	4.862	1.53	10.72	12.04	4.244	9.823	10.78	16.8	14.72	0	5.168
K-562-SM-5PNU4	K-562-SM-5PNU4	Bone Marrow	10.09	9.831	11.45	13.23	5.072	0	10.53	11.74	4.233	9.822	10.76	16.64	14.49	0.9921	4.843
K-562-SM-4AT3W	K-562-SM-4AT3W	Bone Marrow	10.09	9.682	11.26	12.99	4.984	1.259	10.53	11.75	4.256	9.632	10.52	16.47	14.36	0	5.105
K-562-SM-4BRWK	K-562-SM-4BRWK	Bone Marrow	10.09	9.663	11.19	13	5.346	0	10.45	11.69	4.544	9.621	10.58	16.47	14.38	0	5.302
K-562-SM-5QGOR	K-562-SM-5QGOR	Bone Marrow	10.08	9.828	11.35	13.14	5.588	0	10.43	11.75	3.208	9.765	10.74	16.58	14.48	0	5.552
K-562-SM-5IFEL	K-562-SM-5IFEL	Bone Marrow	10.08	9.802	11.44	13.14	4.702	0.9212	10.61	11.9	3.657	9.707	10.66	16.66	14.57	0.9212	5.128
K-562-SM-5L3FO	K-562-SM-5L3FO	Bone Marrow	10.07	9.929	11.47	13.28	4.974	0.9864	10.72	12.02	4.433	9.86	10.82	16.71	14.56	0.9864	5.433
K-562-SM-32PMP	K-562-SM-32PMP	Bone Marrow	10.06	9.938	11.51	13.22	5.514	0	10.46	11.85	4.465	9.843	10.83	16.64	14.52	0	5.591
K-562-SM-2D7VW	K-562-SM-2D7VW	Bone Marrow	10.06	9.601	11.27	12.97	5.486	0	10.33	11.4	4.251	9.696	10.85	16.36	14.25	0	4.937
K-562-SM-5O98J	K-562-SM-5O98J	Bone Marrow	10.05	9.79	11.38	13.18	5.785	1.002	10.49	11.6	4.396	9.817	10.82	16.6	14.48	0	5.133
K-562-SM-46MWI	K-562-SM-46MWI	Bone Marrow	10.04	9.751	11.32	13.13	5.082	2.138	10.44	11.75	3.976	9.821	10.69	16.42	14.27	0	5.462
K-562-SM-2TF5R	K-562-SM-2TF5R	Bone Marrow	10.03	9.918	11.52	13.33	6.186	1.746	10.42	11.71	3.674	9.891	11.08	16.62	14.4	0	5.035
K-562-SM-5K7ZB	K-562-SM-5K7ZB	Bone Marrow	9.977	9.795	11.4	13.23	5.059	2.449	10.63	11.89	3.954	9.749	10.86	16.68	14.59	0	5.197
K-562-SM-33HC7	K-562-SM-33HC7	Bone Marrow	9.971	10.01	11.59	13.57	5.798	3.353	10.82	11.78	3.89	9.958	11.2	16.8	14.58	0	5.577
K-562-SM-2D7VY	K-562-SM-2D7VY	Bone Marrow	9.947	9.425	11.01	12.74	5.717	2.313	9.932	11.09	4.847	9.53	10.54	16.04	13.93	0	4.381
K-562-SM-2TC5E	K-562-SM-2TC5E	Bone Marrow	9.877	9.459	11.04	12.88	5.428	2.809	10.16	11.33	5.428	9.428	10.42	16.26	14.19	2.001	5.616
K-562-SM-4M1XD	K-562-SM-4M1XD	Bone Marrow	9.714	9.689	11.26	13.04	5.165	1.167	10.42	11.51	3.995	9.689	10.63	16.46	14.35	0	4.828
K-562-SM-2HMJ2	K-562-SM-2HMJ2	Bone Marrow	9.641	10.1	11.89	13.79	6.851	1.589	10.74	11.87	3.175	10.27	11.56	16.85	14.7	1.589	4.398
K-562-SM-32PLC	K-562-SM-32PLC	Bone Marrow	9.635	10.12	11.75	13.67	6.284	1.262	10.68	11.83	3.431	10.22	11.39	16.83	14.64	1.262	4.547
K-562-SM-2S1RI	K-562-SM-2S1RI	Bone Marrow	9.502	9.707	11.25	13.12	6.29	2.226	10.16	11.4	4.741	9.864	10.91	16.43	14.28	0	4.277
K-562-SM-2TF4E	K-562-SM-2TF4E	Bone Marrow	9.45	9.341	11.12	13.03	4.952	0	10.39	11.63	4.098	9.459	10.6	16.34	14.21	0	4.952
K-562-SM-2S1Q5	K-562-SM-2S1Q5	Bone Marrow	9.443	9.633	11.02	12.82	5.149	2.981	10.07	11.11	6.658	9.481	10.64	16.14	13.92	2.153	5.002
K-562-SM-48U2C	K-562-SM-48U2C	Bone Marrow	8.842	9.142	11.04	13.19	4.624	1.941	10.3	11.15	4.877	9.386	10.83	16.17	14.16	0	3.099
K-562-SM-26GMQ	K-562-SM-26GMQ	Bone Marrow															
K-562-SM-2I5EP	K-562-SM-2I5EP	Bone Marrow															
K-562-SM-2S1OR	K-562-SM-2S1OR	Bone Marrow															
K-562-SM-2XCBH	K-562-SM-2XCBH	Bone Marrow															
K-562-SM-2XCE8	K-562-SM-2XCE8	Bone Marrow															
K-562-SM-2XCFL	K-562-SM-2XCFL	Bone Marrow															
K-562-SM-32QPQ	K-562-SM-32QPQ	Bone Marrow															
K-562-SM-3DB9M	K-562-SM-3DB9M	Bone Marrow															
K-562-SM-3GADY	K-562-SM-3GADY	Bone Marrow															
K-562-SM-3GAFC	K-562-SM-3GAFC	Bone Marrow															
K-562-SM-3GIKB	K-562-SM-3GIKB	Bone Marrow															
K-562-SM-3GILO	K-562-SM-3GILO	Bone Marrow															
K-562-SM-3K2BF	K-562-SM-3K2BF	Bone Marrow															
K-562-SM-48TE3	K-562-SM-48TE3	Bone Marrow															
K-562-SM-4B66B	K-562-SM-4B66B	Bone Marrow															
K-562-SM-4BONS	K-562-SM-4BONS	Bone Marrow															
K-562-SM-4EDPU	K-562-SM-4EDPU	Bone Marrow															
K-562-SM-4GICD	K-562-SM-4GICD	Bone Marrow															
K-562-SM-4LMI2	K-562-SM-4LMI2	Bone Marrow															
K-562-SM-4LVKX	K-562-SM-4LVKX	Bone Marrow															
K-562-SM-4PQYN	K-562-SM-4PQYN	Bone Marrow															
K-562-SM-4RGL3	K-562-SM-4RGL3	Bone Marrow															
K-562-SM-4RTUY	K-562-SM-4RTUY	Bone Marrow															
K-562-SM-4TT1D	K-562-SM-4TT1D	Bone Marrow															
K-562-SM-4U82S	K-562-SM-4U82S	Bone Marrow															
K-562-SM-4WKF1	K-562-SM-4WKF1	Bone Marrow															
K-562-SM-51MQT	K-562-SM-51MQT	Bone Marrow															
K-562-SM-5IFHC	K-562-SM-5IFHC	Bone Marrow															
K-562-SM-5K7WK	K-562-SM-5K7WK	Bone Marrow															
K-562-SM-5LU8G	K-562-SM-5LU8G	Bone Marrow															
K-562-SM-5MR5S	K-562-SM-5MR5S	Bone Marrow															
K-562-SM-5RQHM	K-562-SM-5RQHM	Bone Marrow															
GTEX-YFC4-0126-101855-SM-5CVLZ	GTEX-YFC4-0126-101855-SM-5CVLZ	<not provided>	11.12	10.49	9.914	9.516	5.477	9.95	9.707	10.1	9.011	10.23	10.84	14.44	11.21	3.859	7.166
GTEX-YEC3-1426-101806-SM-5PNXX	GTEX-YEC3-1426-101806-SM-5PNXX	<not provided>	11.1	11.57	8.733	11.25	7.745	8.693	9.936	11.05	6.308	11.33	8.817	13.54	13.96	1.463	8.803
GTEX-YEC4-1026-101814-SM-5P9FX	GTEX-YEC4-1026-101814-SM-5P9FX	<not provided>	10.91	10.21	9.784	10.74	5.097	9.703	10	9.64	5.4	10.17	11.23	14.55	12.93	3.345	9.215
GTEX-YEC3-2526-101809-SM-5CVLT	GTEX-YEC3-2526-101809-SM-5CVLT	<not provided>	10.73	10.44	9.96	10.53	6.021	10.92	10.13	10.03	4.479	12.24	11.68	14.6	12.11	0	9.21
GTEX-YF7O-2326-101833-SM-5CVN9	GTEX-YF7O-2326-101833-SM-5CVN9	<not provided>															
GTEX-S32W-1526-SM-4AD6Z	GTEX-S32W-1526-SM-4AD6Z	Cervix Uteri	10.99	10.44	9.39	10.2	7.565	9.58	10.05	9.843	4.83	10.82	9.884	14.13	13.29	2.245	6.87
GTEX-S4UY-1426-SM-4AD6Y	GTEX-S4UY-1426-SM-4AD6Y	Cervix Uteri	10.98	10.06	9.472	9.865	7.384	9.162	9.544	9.934	3.998	10.87	9.804	12.57	13.02	1.806	7.437
GTEX-S32W-1626-SM-4AD6G	GTEX-S32W-1626-SM-4AD6G	Cervix Uteri	10.89	10.49	9.529	9.873	7.85	9.842	10.06	9.96	5.024	11.21	10.18	14.18	13.19	2.461	7.028
GTEX-U3ZN-1626-SM-4DXTZ	GTEX-U3ZN-1626-SM-4DXTZ	Cervix Uteri	10.59	9.983	9.008	10.57	6.667	9.365	9.643	9.906	4.063	10.15	11.27	14.73	12.06	5.275	8.764
GTEX-TSE9-2826-SM-4DXTF	GTEX-TSE9-2826-SM-4DXTF	Cervix Uteri	10.47	9.999	9.675	8.94	7.996	8.137	10.28	10.06	4.465	10.59	9.285	12.87	13.28	2.576	7.825
GTEX-T5JW-0726-SM-4DM6D	GTEX-T5JW-0726-SM-4DM6D	Cervix Uteri	10.42	10.28	9.487	9.343	6.306	9.297	9.666	9.657	3.866	10.4	10.23	14.02	11.75	0	6.636
GTEX-S341-1126-SM-4AD6T	GTEX-S341-1126-SM-4AD6T	Cervix Uteri	10.41	10.4	9.285	9.66	7.74	9.438	9.985	9.943	4.132	11.54	9.703	13.07	12.98	1.68	8.157
GTEX-S341-1326-SM-4AD72	GTEX-S341-1326-SM-4AD72	Cervix Uteri	10.38	10.18	9.866	8.63	8.165	8.46	9.439	9.7	5.452	10.36	10.35	12.58	12.39	1.307	9.294
GTEX-T6MO-1426-SM-4DM73	GTEX-T6MO-1426-SM-4DM73	Cervix Uteri	10.36	10.34	9.732	8.493	8.175	8.449	9.602	9.523	5.338	10.5	10.28	12.79	12.64	1.211	8.508
GTEX-TSE9-2726-SM-4DXSQ	GTEX-TSE9-2726-SM-4DXSQ	Cervix Uteri	10.25	9.875	9.411	9.025	7.677	7.956	10.24	9.935	3.534	10.33	9.417	12.42	13.17	0	7.233
GTEX-TML8-0726-SM-4DXTT	GTEX-TML8-0726-SM-4DXTT	Cervix Uteri															
GTEX-SE5C-1026-SM-4BRUG	GTEX-SE5C-1026-SM-4BRUG	Bladder	11.16	11.32	8.78	11.04	6.902	9.14	10.11	10.47	6.207	13.43	8.513	13.79	14.02	4.878	7.483
GTEX-S32W-1126-SM-4AD5V	GTEX-S32W-1126-SM-4AD5V	Bladder	10.93	10.42	9.197	11.36	7.083	10.37	10.01	10.17	11.13	11.44	9.292	14.69	13.32	2.79	6.787
GTEX-U4B1-1226-SM-4DXT7	GTEX-U4B1-1226-SM-4DXT7	Bladder	10.76	11	9.074	10.72	7.287	9.398	9.918	10.38	6.539	12.15	9.484	13.98	13.42	4.439	6.446
GTEX-U3ZM-0826-SM-4DXU6	GTEX-U3ZM-0826-SM-4DXU6	Bladder	10.75	11.14	8.782	10.73	6.89	9.439	10.34	10.22	7.103	12.75	9.116	13.01	13.21	4.583	7.374
GTEX-S4UY-0926-SM-4AD6O	GTEX-S4UY-0926-SM-4AD6O	Bladder	10.67	10.26	9.504	8.722	8.518	9.935	9.48	9.829	6.809	12.32	10.83	12.6	13.7	0	7.819
GTEX-S4Q7-0926-SM-4AD5D	GTEX-S4Q7-0926-SM-4AD5D	Bladder	10.46	10.92	9.213	10.21	7.284	10.26	9.761	10.24	11.12	12.03	10.33	13.92	13.64	0	7.422
GTEX-S3XE-1226-SM-4AD4L	GTEX-S3XE-1226-SM-4AD4L	Bladder	10.31	10.39	9.395	9.481	7.805	9.945	9.603	9.895	5.202	12.42	10.92	13.26	13.94	1.083	7.587
GTEX-SNMC-0826-SM-4DM66	GTEX-SNMC-0826-SM-4DM66	Bladder	10.29	10.16	9.808	8.289	8.163	10.17	9.149	10.24	4.84	11.29	10.65	12.36	13.97	2.026	8.444
GTEX-SNOS-0526-SM-4DM54	GTEX-SNOS-0526-SM-4DM54	Bladder	10.04	10.31	9.892	7.382	7.625	8.567	9.243	10.05	3.048	12.2	10.93	12.28	13.34	1.967	8.046
GTEX-SUCS-1226-SM-5CHTD	GTEX-SUCS-1226-SM-5CHTD	Bladder															
GTEX-T5JW-1026-SM-5CHQZ	GTEX-T5JW-1026-SM-5CHQZ	Bladder															
GTEX-TMMY-1526-SM-4DXST	GTEX-TMMY-1526-SM-4DXST	Bladder															
GTEX-U3ZN-1226-SM-4DXUD	GTEX-U3ZN-1226-SM-4DXUD	Bladder															
GTEX-T5JW-0326-SM-4DM6J	GTEX-T5JW-0326-SM-4DM6J	Fallopian Tube	10.89	10.45	9.746	10.65	6.501	9.494	10.09	10.31	5.649	11.27	9.866	13.55	13.36	1.177	7.948
GTEX-S32W-1326-SM-4AD5Q	GTEX-S32W-1326-SM-4AD5Q	Fallopian Tube	10.87	10.48	9.534	9.899	8.195	9.26	9.556	9.887	6.27	10.6	10.81	13.21	12.89	0	7.945
GTEX-U3ZN-1126-SM-4DXUL	GTEX-U3ZN-1126-SM-4DXUL	Fallopian Tube	10.73	10.08	10.41	8.972	7.301	6.966	9.168	9.7	4.363	9.793	11.33	11.66	12.47	6.022	7.875
GTEX-S341-0826-SM-4AD73	GTEX-S341-0826-SM-4AD73	Fallopian Tube	10.41	10.38	9.568	10.45	8.828	9.162	9.847	9.941	4.612	11.78	9.607	13.38	13.05	0	9.263
GTEX-T6MO-1026-SM-4DM72	GTEX-T6MO-1026-SM-4DM72	Fallopian Tube	10.39	9.908	9.489	10.87	6.524	9.053	9.594	9.888	3.996	11.17	9.411	13.12	12.89	1.895	7.85
GTEX-OHPK-2326-SM-3MJH2	GTEX-OHPK-2326-SM-3MJH2	Fallopian Tube															
GTEX-SE5C-0926-SM-4BRUF	GTEX-SE5C-0926-SM-4BRUF	Fallopian Tube															
GTEX-13NYB-1726-SM-5N9G2	GTEX-13NYB-1726-SM-5N9G2	Kidney	12.49	10.06	11.18	8.814	11.5	9.987	12.7	13.24	14.37	11.87	9.012	13.36	15.91	4.58	12.28
GTEX-11OF3-1326-SM-5N9FJ	GTEX-11OF3-1326-SM-5N9FJ	Kidney	12.44	10.36	10.48	7.739	10.97	9.691	11.97	12.41	13.98	11.49	9.114	13.05	15.39	5.759	11.83
GTEX-Y5V6-2026-SM-5IFHO	GTEX-Y5V6-2026-SM-5IFHO	Kidney	12.28	10.28	10.68	9.943	11.71	9.981	11.71	12.15	13.11	11.33	9.257	14.07	15.46	6.33	11.73
GTEX-N7MS-1626-SM-3LK5F	GTEX-N7MS-1626-SM-3LK5F	Kidney	12.2	9.573	10.89	7.513	11.2	9.137	13.36	13.58	14.37	11.72	8.083	13.08	15.93	8.633	12.81
GTEX-ZYT6-2226-SM-5GIC9	GTEX-ZYT6-2226-SM-5GIC9	Kidney	12.08	10.81	9.791	6.771	9.847	11.01	12.95	12.52	8.684	10.74	9.548	12.89	15.47	3.618	10.43
GTEX-1497J-0826-SM-5NQAJ	GTEX-1497J-0826-SM-5NQAJ	Kidney	12	10.35	10.58	10.34	11.9	8.805	11.04	11.77	12.95	11.02	9.586	14.15	14.92	3.165	11.6
GTEX-145MN-0326-SM-5QGQI	GTEX-145MN-0326-SM-5QGQI	Kidney	11.77	10.38	10.44	10.55	11.4	9.525	11.29	11.7	12.08	10.86	9.644	14.44	15.38	3.033	10.78
GTEX-ZDXO-0226-SM-4WKH7	GTEX-ZDXO-0226-SM-4WKH7	Kidney	11.74	10.03	10.05	7.444	10.41	9.568	12.04	11.9	12.06	10.3	9.347	13.24	14.75	6.617	11
GTEX-XPVG-0526-SM-4B65N	GTEX-XPVG-0526-SM-4B65N	Kidney	11.73	10.53	10.82	9.485	11.51	9.398	11.22	11.64	12.03	11.09	9.724	14.18	15.08	3.831	11.12
GTEX-12696-0926-SM-5FQTV	GTEX-12696-0926-SM-5FQTV	Kidney	11.72	10.73	10.44	6.994	9.971	10.73	11.77	11.71	8.658	10.4	10.06	15.62	14.99	5.564	9.951
GTEX-13OW6-1826-SM-5N9F9	GTEX-13OW6-1826-SM-5N9F9	Kidney	11.72	10.03	10.39	9.153	11.47	9.603	12.28	12.11	13.38	11.03	9.086	12.72	14.73	3.949	11.78
GTEX-ZYFG-1626-SM-5GZYY	GTEX-ZYFG-1626-SM-5GZYY	Kidney	11.69	10.81	10.57	8.31	10.5	9.882	11.42	11.72	11.3	10.72	9.933	14.42	15.57	2.711	10.54
GTEX-13112-2126-SM-5GCO4	GTEX-13112-2126-SM-5GCO4	Kidney	11.66	10.52	9.695	7.318	9.225	10.26	12.33	11.67	8.344	10.42	9.504	13.03	14.66	5.714	10.44
GTEX-QLQW-1626-SM-4R1K1	GTEX-QLQW-1626-SM-4R1K1	Kidney	11.56	10.26	10.79	10.59	11.06	9.366	10.67	11.27	10.66	10.5	9.995	14.58	15.04	3.508	10.11
GTEX-WI4N-2026-SM-4OOS7	GTEX-WI4N-2026-SM-4OOS7	Kidney	11.45	9.08	10.25	7.636	10.94	8.992	11.57	11.87	13.19	10.97	9.254	14.99	15.02	5.452	10.67
GTEX-ZC5H-1726-SM-5HL7X	GTEX-ZC5H-1726-SM-5HL7X	Kidney	11.41	10	9.815	8.422	11.28	9.538	11.26	11.29	13.21	10.61	9.322	14.47	14.62	4.192	11.04
GTEX-12WSG-0826-SM-5EQ5A	GTEX-12WSG-0826-SM-5EQ5A	Kidney	11.37	10.35	10.36	10.31	11.61	9.723	11.08	11.41	10.45	10.7	9.831	14.35	14.95	3.205	11.01
GTEX-ZLFU-0926-SM-5P9F8	GTEX-ZLFU-0926-SM-5P9F8	Kidney	11.34	10.56	10.22	8.926	10.27	8.976	11.17	11.16	10.55	10.54	9.384	13.88	14.73	4.437	10.06
GTEX-1399S-0526-SM-5IJG8	GTEX-1399S-0526-SM-5IJG8	Kidney	11.33	10.14	10.17	9.964	10.4	9.207	10.14	10.66	12.77	11.06	9.609	14.12	14.36	1.537	9.44
GTEX-T5JC-1526-SM-4DM68	GTEX-T5JC-1526-SM-4DM68	Kidney	11.28	9.998	9.887	8.45	11.51	8.992	12.1	11.98	13.5	10.79	8.557	14.13	14.73	5.244	11.19
GTEX-13RTJ-2226-SM-5S2Q1	GTEX-13RTJ-2226-SM-5S2Q1	Kidney	11	10.08	9.816	8.443	10.47	9.542	11.41	11.17	9.96	10.71	9.557	14.53	14.54	2.09	9.829
GTEX-147F4-2626-SM-5Q5CS	GTEX-147F4-2626-SM-5Q5CS	Kidney	10.9	10.35	10.1	9.08	10.98	9.398	10.84	10.97	10.72	10.69	10.14	14.43	14.31	1.648	9.411
GTEX-NPJ8-2226-SM-3TW8D	GTEX-NPJ8-2226-SM-3TW8D	Kidney	10.89	9.4	9.498	9.45	10.35	7.675	10.87	11.51	11.05	10.35	8.748	14.35	14.11	0	8.781
GTEX-13O1R-2526-SM-5N9FW	GTEX-13O1R-2526-SM-5N9FW	Kidney	10.72	9.231	10.37	9.643	10.84	9.245	10.27	10.94	11.33	9.571	9.855	15.04	14.41	5.091	9.899
GTEX-ZE9C-1426-SM-4WKGM	GTEX-ZE9C-1426-SM-4WKGM	Kidney	10.68	10.18	9.697	7.574	9.256	8.614	10.38	10.91	5.987	9.627	9.86	13.52	13.51	1.108	8.054
